Date,Type du train,Axe,Départ,Arrivée,Nombre de trains programmés,Nombre de trains annulés,Nombre de trains ayant circulé,Nombre de trains en retard à l'arrivée,Régularité (avec erreurs),Régularité,Commentaires,Comparaison moyenne
2011-09,TGV,Sud-Est,AIX EN PROVENCE TGV,PARIS LYON,411,1,410,47,"88,3%","88,3%",,mieux
2011-09,TGV,Atlantique,ANGERS SAINT LAUD,PARIS MONTPARNASSE,475,0,475,16,"96,6%","96,6%",,mieux
2011-09,TGV,Atlantique,ANGOULEME,PARIS MONTPARNASSE,358,0,358,23,"93,6%","93,6%",,mieux
2011-09,TGV,Sud-Est,ANNECY,PARIS LYON,196,0,196,19,"90,3%","90,3%",,mieux
2011-09,TGV,Nord,ARRAS,PARIS NORD,327,0,327,42,"87,2%","87,2%",,moins bien
2011-09,TGV,Sud-Est,AVIGNON TGV,PARIS LYON,381,1,380,36,"90,3%","90,3%",,mieux
2011-09,TGV,Sud-Est,BELLEGARDE (AIN),PARIS LYON,257,0,257,13,"94,9%","94,9%",,mieux
2011-09,TGV,Sud-Est,BESANCON FRANCHE COMTE TGV,PARIS LYON,146,0,146,9,"93,8%","93,8%",,mieux
2011-09,TGV,Atlantique,BORDEAUX ST JEAN,PARIS MONTPARNASSE,639,0,639,34,"94,7%","94,7%",,mieux
2011-09,TGV,Atlantique,BREST,PARIS MONTPARNASSE,195,0,195,5,"97,4%","97,4%",,mieux
2011-09,TGV,Sud-Est,CHAMBERY CHALLES LES EAUX,PARIS LYON,167,0,167,20,"88,0%","88,0%",,moins bien
2011-09,TGV,Sud-Est,DIJON VILLE,PARIS LYON,417,0,417,28,"93,3%","93,3%",,mieux
2011-09,TGV,Nord,DOUAI,PARIS NORD,132,0,132,11,"91,7%","91,7%",,mieux
2011-09,TGV,Nord,DUNKERQUE,PARIS NORD,200,0,200,14,"93,0%","93,0%",,mieux
2011-09,TGV,Sud-Est,GRENOBLE,PARIS LYON,240,1,239,23,"90,0%","90,0%",,mieux
2011-09,TGV,Atlantique,LA ROCHELLE VILLE,PARIS MONTPARNASSE,163,0,163,6,"96,3%","96,3%",,mieux
2011-09,TGV,Atlantique,LAVAL,PARIS MONTPARNASSE,228,0,228,6,"97,4%","97,4%",,mieux
2011-09,TGV,Sud-Est,LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,216,0,216,27,"87,5%","87,5%",,moins bien
2011-09,TGV,Atlantique,LE MANS,PARIS MONTPARNASSE,461,0,461,26,"94,4%","94,4%",,mieux
2011-09,TGV,Nord,LILLE,PARIS NORD,628,0,628,49,"92,2%","92,2%",,mieux
2011-09,TGV,Nord,LILLE,LYON PART DIEU,339,0,339,29,"91,4%","91,4%",,mieux
2011-09,TGV,Nord,LILLE,MARSEILLE ST CHARLES,159,0,159,31,"80,5%","80,5%",,moins bien
2011-09,TGV,Sud-Est,LYON PART DIEU,PARIS LYON,609,0,609,37,"93,9%","93,9%",,mieux
2011-09,TGV,Nord,LYON PART DIEU,LILLE,311,0,311,53,"83,0%","83,0%",,moins bien
2011-09,TGV,Sud-Est,LYON PART DIEU,MARSEILLE ST CHARLES,543,0,543,97,"82,1%","82,1%",,moins bien
2011-09,TGV,Sud-Est,LYON PART DIEU,MONTPELLIER,359,0,359,72,"79,9%","79,9%",,moins bien
2011-09,TGV,Atlantique,LYON PART DIEU,RENNES,52,0,52,21,"59,6%","59,6%",,moins bien
2011-09,TGV,Sud-Est,MACON LOCHE,PARIS LYON,180,0,180,16,"91,1%","91,1%",,mieux
2011-09,TGV,Sud-Est,MARSEILLE ST CHARLES,PARIS LYON,475,0,475,34,"92,8%","92,8%",,mieux
2011-09,TGV,Sud-Est,MARSEILLE ST CHARLES,LYON PART DIEU,540,0,540,77,"85,7%","85,7%",,moins bien
2011-09,TGV,Nord,MARSEILLE ST CHARLES,LILLE,199,0,199,41,"79,4%","79,4%",,moins bien
2011-09,TGV,Est,METZ,PARIS EST,289,1,288,15,"94,5%","94,5%",,mieux
2011-09,TGV,Sud-Est,MONTPELLIER,PARIS LYON,383,0,383,33,"91,4%","91,4%",,mieux
2011-09,TGV,Sud-Est,MONTPELLIER,LYON PART DIEU,353,0,353,61,"82,7%","82,7%",,moins bien
2011-09,TGV,Est,MULHOUSE VILLE,PARIS LYON,203,0,203,31,"84,7%","84,7%",,moins bien
2011-09,TGV,Est,NANCY,PARIS EST,289,1,288,9,"96,5%","96,5%",,mieux
2011-09,TGV,Atlantique,NANTES,PARIS MONTPARNASSE,600,0,600,22,"96,3%","96,3%",,mieux
2011-09,TGV,Est,NANTES,STRASBOURG,52,0,52,5,"90,4%","90,4%",,mieux
2011-09,TGV,Sud-Est,NICE VILLE,PARIS LYON,183,0,183,21,"88,5%","88,5%",,mieux
2011-09,TGV,Sud-Est,NIMES,PARIS LYON,383,0,383,50,"86,9%","86,9%",,moins bien
2011-09,TGV,Est,PARIS EST,NANCY,288,0,288,11,"96,2%","96,2%",,mieux
2011-09,TGV,Est,PARIS EST,METZ,304,0,304,12,"96,1%","96,1%",,mieux
2011-09,TGV,Est,PARIS EST,REIMS,245,0,245,16,"93,5%","93,5%",,mieux
2011-09,TGV,Est,PARIS EST,STRASBOURG,489,0,489,36,"92,6%","92,6%",,mieux
2011-09,TGV,Sud-Est,PARIS LYON,DIJON VILLE,411,0,411,25,"93,9%","93,9%",,mieux
2011-09,TGV,Sud-Est,PARIS LYON,ANNECY,202,0,202,16,"92,1%","92,1%",,mieux
2011-09,TGV,Sud-Est,PARIS LYON,LYON PART DIEU,637,0,637,55,"91,4%","91,4%",,mieux
2011-09,TGV,Sud-Est,PARIS LYON,BESANCON FRANCHE COMTE TGV,178,0,178,16,"91,0%","91,0%",,mieux
2011-09,TGV,Sud-Est,PARIS LYON,MARSEILLE ST CHARLES,505,0,505,46,"90,9%","90,9%",,mieux
2011-09,TGV,Sud-Est,PARIS LYON,MACON LOCHE,181,0,181,17,"90,6%","90,6%",,mieux
2011-09,TGV,Est,PARIS LYON,MULHOUSE VILLE,217,0,217,23,"89,4%","89,4%",,mieux
2011-09,TGV,Sud-Est,PARIS LYON,BELLEGARDE (AIN),260,0,260,29,"88,8%","88,8%",,mieux
2011-09,TGV,Sud-Est,PARIS LYON,TOULON,222,0,222,25,"88,7%","88,7%",,mieux
2011-09,TGV,Sud-Est,PARIS LYON,AIX EN PROVENCE TGV,414,0,414,48,"88,4%","88,4%",,mieux
2011-09,TGV,Sud-Est,PARIS LYON,MONTPELLIER,369,0,369,49,"86,7%","86,7%",,moins bien
2011-09,TGV,Sud-Est,PARIS LYON,AVIGNON TGV,384,0,384,51,"86,7%","86,7%",,moins bien
2011-09,TGV,Sud-Est,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,202,0,202,27,"86,6%","86,6%",,moins bien
2011-09,TGV,Sud-Est,PARIS LYON,GRENOBLE,134,0,134,18,"86,6%","86,6%",,moins bien
2011-09,TGV,Sud-Est,PARIS LYON,CHAMBERY CHALLES LES EAUX,180,0,180,26,"85,6%","85,6%",,moins bien
2011-09,TGV,Sud-Est,PARIS LYON,VALENCE ALIXAN TGV,256,0,256,37,"85,5%","85,5%",,moins bien
2011-09,TGV,Sud-Est,PARIS LYON,NICE VILLE,182,0,182,29,"84,1%","84,1%",,moins bien
2011-09,TGV,Sud-Est,PARIS LYON,NIMES,369,0,369,60,"83,7%","83,7%",,moins bien
2011-09,TGV,Sud-Est,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,116,0,116,19,"83,6%","83,6%",,moins bien
2011-09,TGV,Sud-Est,PARIS LYON,PERPIGNAN,121,0,121,22,"81,8%","81,8%",,moins bien
2011-09,TGV,Atlantique,PARIS MONTPARNASSE,ST MALO,44,0,44,1,"97,7%","97,7%",,mieux
2011-09,TGV,Atlantique,PARIS MONTPARNASSE,NANTES,595,0,595,24,"96,0%","96,0%",,mieux
2011-09,TGV,Atlantique,PARIS MONTPARNASSE,VANNES,173,0,173,8,"95,4%","95,4%",,mieux
2011-09,TGV,Atlantique,PARIS MONTPARNASSE,QUIMPER,150,0,150,7,"95,3%","95,3%",,mieux
2011-09,TGV,Atlantique,PARIS MONTPARNASSE,BORDEAUX ST JEAN,656,0,656,38,"94,2%","94,2%",,mieux
2011-09,TGV,Atlantique,PARIS MONTPARNASSE,BREST,177,0,177,11,"93,8%","93,8%",,mieux
